method,availability_design,name,team,position,value,raw_forecast,starting_probability,adjusted_cost,role,is_captain,is_vice_captain
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Dominic Solanke,Bournemouth,FWD,7.0,5.147229441910981,0.9285714285714286,5.147229441910981,XI,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.7447772485447355,0.8214285714285714,3.7447772485447355,XI,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Jordan Pickford,Everton,GK,4.6,3.7330103703165336,0.9642857142857143,3.7330103703165336,XI,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Kieran Trippier,Newcastle,DEF,6.9,3.958176431231566,0.8928571428571429,3.958176431231566,XI,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Matt Turner,Nott'm Forest,GK,3.9,1.5683905397333036,0.6428571428571429,1.5683905397333036,Bench,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Mohamed Salah,Liverpool,MID,13.0,6.507747702315204,0.75,6.507747702315204,XI,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Ollie Watkins,Aston Villa,FWD,8.8,6.517863273271979,0.9642857142857143,6.517863273271979,XI,False,True
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Phil Foden,Man City,MID,8.1,5.361564154300708,0.8571428571428571,5.361564154300708,XI,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,Son Heung-min,Spurs,MID,9.6,5.765943678372852,0.7857142857142857,5.765943678372852,XI,False,False
"ARIMA(0,0,1)",Unadjusted joint $\delta=0$,William Saliba,Arsenal,DEF,5.7,4.012790688768956,0.9642857142857143,4.012790688768956,XI,False,False
"ARIMA(0,0,1)",Expected availability,Alphonse Areola,West Ham,GK,4.2,3.192776067110868,0.8571428571428571,2.736665200380744,Bench,False,False
"ARIMA(0,0,1)",Expected availability,Bukayo Saka,Arsenal,MID,9.1,6.654459682282244,0.9285714285714286,6.179141133547798,XI,False,True
"ARIMA(0,0,1)",Expected availability,Dominic Solanke,Bournemouth,FWD,7.0,5.147229441910981,0.9285714285714286,4.779570196060197,XI,False,False
"ARIMA(0,0,1)",Expected availability,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,4.693284525084277,0.9285714285714286,4.358049916149685,XI,False,False
"ARIMA(0,0,1)",Expected availability,Emerson Palmieri dos Santos,West Ham,DEF,4.4,3.338799707469006,0.8928571428571429,2.9810711673830412,Bench,False,False
"ARIMA(0,0,1)",Expected availability,James Tarkowski,Everton,DEF,4.6,3.1751472425536273,0.9642857142857143,3.0617491267481407,Bench,False,False
"ARIMA(0,0,1)",Expected availability,Jarrod Bowen,West Ham,MID,7.7,4.937459334052974,0.9285714285714286,4.5847836673349045,XI,False,False
"ARIMA(0,0,1)",Expected availability,Joachim Andersen,Crystal Palace,DEF,4.7,3.2916351864674254,0.9642857142857143,3.1740767869507316,XI,False,False
"ARIMA(0,0,1)",Expected availability,Jordan Pickford,Everton,GK,4.6,3.7330103703165336,0.9642857142857143,3.5996885713766575,XI,False,False
"ARIMA(0,0,1)",Expected availability,Kieran Trippier,Newcastle,DEF,6.9,3.958176431231566,0.8928571428571429,3.5340860993138983,XI,False,False
"ARIMA(0,0,1)",Expected availability,Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,4.328624436058369,0.8928571428571429,3.864843246480687,Bench,False,False
"ARIMA(0,0,1)",Expected availability,Mohamed Salah,Liverpool,MID,13.0,6.507747702315204,0.75,4.8808107767364035,XI,False,False
"ARIMA(0,0,1)",Expected availability,Ollie Watkins,Aston Villa,FWD,8.8,6.517863273271979,0.9642857142857143,6.285082442083694,XI,True,False
"ARIMA(0,0,1)",Expected availability,Phil Foden,Man City,MID,8.1,5.361564154300708,0.8571428571428571,4.595626417972035,XI,False,False
"ARIMA(0,0,1)",Expected availability,William Saliba,Arsenal,DEF,5.7,4.012790688768956,0.9642857142857143,3.869476735598637,XI,False,False
"ARIMA(0,0,1)",Availability robust,André Onana,Man Utd,GK,4.8,3.5442574098096813,0.9642857142857143,3.088810685768648,Bench,False,False
"ARIMA(0,0,1)",Availability robust,Anthony Gordon,Newcastle,MID,6.1,4.749935097103997,0.8928571428571429,3.5064483973393967,Bench,False,False
"ARIMA(0,0,1)",Availability robust,Bukayo Saka,Arsenal,MID,9.1,6.654459682282244,0.9285714285714286,5.322248433727211,XI,False,True
"ARIMA(0,0,1)",Availability robust,Dominic Solanke,Bournemouth,FWD,7.0,5.147229441910981,0.9285714285714286,4.116763064653485,XI,False,False
"ARIMA(0,0,1)",Availability robust,Douglas Luiz Soares de Paulo,Aston Villa,MID,5.5,4.693284525084277,0.9285714285714286,3.753697130237792,XI,False,False
"ARIMA(0,0,1)",Availability robust,Fabian Schär,Newcastle,DEF,5.4,3.2823961808006934,0.9642857142857143,2.860599337430124,Bench,False,False
"ARIMA(0,0,1)",Availability robust,James Tarkowski,Everton,DEF,4.6,3.1751472425536273,0.9642857142857143,2.7671321796616173,Bench,False,False
"ARIMA(0,0,1)",Availability robust,Jarrod Bowen,West Ham,MID,7.7,4.937459334052974,0.9285714285714286,3.9489885673546805,XI,False,False
"ARIMA(0,0,1)",Availability robust,Joachim Andersen,Crystal Palace,DEF,4.7,3.2916351864674254,0.9642857142857143,2.8686511057216406,XI,False,False
"ARIMA(0,0,1)",Availability robust,Jordan Pickford,Everton,GK,4.6,3.7330103703165336,0.9642857142857143,3.2533083770961353,XI,False,False
"ARIMA(0,0,1)",Availability robust,Julián Álvarez,Man City,FWD,6.7,4.869651951362604,0.8928571428571429,3.5948245463115254,XI,False,False
"ARIMA(0,0,1)",Availability robust,Kieran Trippier,Newcastle,DEF,6.9,3.958176431231566,0.8928571428571429,2.9219644310804402,XI,False,False
"ARIMA(0,0,1)",Availability robust,Ollie Watkins,Aston Villa,FWD,8.8,6.517863273271979,0.9642857142857143,5.6803001021143595,XI,True,False
"ARIMA(0,0,1)",Availability robust,Phil Foden,Man City,MID,8.1,5.361564154300708,0.8571428571428571,3.65754810359821,XI,False,False
"ARIMA(0,0,1)",Availability robust,William Saliba,Arsenal,DEF,5.7,4.012790688768956,0.9642857142857143,3.4971361631118256,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Alphonse Areola,West Ham,GK,4.2,3.1947768878877363,0.8571428571428571,3.1947768878877363,Bench,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Amari'i Bell,Luton,DEF,3.9,1.3631899960956482,0.6785714285714286,1.3631899960956482,Bench,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Bukayo Saka,Arsenal,MID,9.1,6.889276021980589,0.9285714285714286,6.889276021980589,XI,True,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Cameron Archer,Sheffield Utd,FWD,4.3,2.587877345394426,0.6071428571428571,2.587877345394426,Bench,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Chris Richards,Crystal Palace,DEF,3.9,3.292915506373225,0.5357142857142857,3.292915506373225,Bench,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Cole Palmer,Chelsea,MID,5.8,4.9625860101479695,0.6428571428571429,4.9625860101479695,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Dominic Solanke,Bournemouth,FWD,7.0,5.166690308291283,0.9285714285714286,5.166690308291283,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Gabriel dos Santos Magalhães,Arsenal,DEF,5.2,3.719313524727714,0.8214285714285714,3.719313524727714,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Kieran Trippier,Newcastle,DEF,6.9,3.846133239496449,0.8928571428571429,3.846133239496449,XI,False,False
"ARIMA(1,0,0)",Unadjusted joint $\delta=0$,Mohamed Salah,Liverpool,MID,13.0,6.509131521625363,0.75,6.509131521625363,XI,False,False
