method,solution_id,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
Weighted average,Weighted average | joint_pareto | delta=0.100,Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,59.05299145299145,21.717720797720794,70.7,25.900000000000002,96.60000000000001,5-4-1,Bukayo Saka,Phil Foden
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=55","Two-stage fixed allocation, XI cap £55m",Two-stage,55.0,fixed_split,,,False,47.51680128036821,18.16968421209245,55.0,26.499999999999996,81.5,3-4-3,Cole Palmer,Anthony Gordon
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=55","Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,47.51680128036821,18.16968421209245,55.0,26.499999999999996,81.5,3-4-3,Cole Palmer,Anthony Gordon
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=60","Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,52.99427170538875,18.16968421209245,60.0,26.499999999999996,86.5,3-4-3,Ollie Watkins,Cole Palmer
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=60","Two-stage actual remainder, XI cap £60m",Two-stage,60.0,actual_remainder,,,False,52.99427170538875,18.16968421209245,60.0,26.499999999999996,86.5,3-4-3,Ollie Watkins,Cole Palmer
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=65","Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,56.70421353619789,18.022972232125408,64.8,30.4,95.19999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=65","Two-stage actual remainder, XI cap £65m",Two-stage,65.0,actual_remainder,,,False,56.70421353619789,18.022972232125408,64.8,30.4,95.19999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=70","Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,59.29451503365866,16.498311080601233,70.0,27.300000000000004,97.30000000000001,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=70","Two-stage actual remainder, XI cap £70m",Two-stage,70.0,actual_remainder,,,False,59.29451503365866,16.498311080601233,70.0,27.300000000000004,97.30000000000001,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=75","Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,60.764468531754225,15.850297886969209,75.0,24.900000000000002,99.9,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=75","Two-stage actual remainder, XI cap £75m",Two-stage,75.0,actual_remainder,,,False,60.764468531754225,15.850297886969209,75.0,24.900000000000002,99.9,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=80","Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,61.94928185318081,14.692862912409904,79.69999999999999,20.0,99.69999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=80","Two-stage actual remainder, XI cap £80m",Two-stage,80.0,actual_remainder,,,False,61.94928185318081,14.969920973619113,79.69999999999999,20.3,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=83.5","Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | actual_remainder | xi_cap=83.5","Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.000",Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.02194100646938,8.971304961797689,83.79999999999998,16.2,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.005",Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.010",Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,62.40256428270682,13.861003287705959,81.3,18.7,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.020",Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,61.855015151672035,15.064187675127883,80.6,19.4,100.0,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.050",Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,False,59.871020845701125,17.048181981098793,77.8,22.2,100.0,4-4-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | joint_pareto | delta=0.100",Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,56.82035733042551,20.09884549637441,73.9,26.1,100.0,5-4-1,Bukayo Saka,Mohamed Salah
