method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=60",static,667.0,55.583333333333336,9,48.0,17,"Two-stage fixed allocation, XI cap £60m",Two-stage,60.0,fixed_split,,,False,52.99427170538875,18.16968421209245,60.0,26.499999999999996,86.5,3-4-3,Ollie Watkins,Cole Palmer
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=65",sequential,678.0,56.5,15,41.0,23,"Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,56.70421353619789,18.022972232125408,64.8,30.4,95.19999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=65",static,658.0,54.833333333333336,11,51.0,19,"Two-stage fixed allocation, XI cap £65m",Two-stage,65.0,fixed_split,,,False,56.70421353619789,18.022972232125408,64.8,30.4,95.19999999999999,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=70",sequential,718.0,59.833333333333336,17,38.0,28,"Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,59.29451503365866,16.498311080601233,70.0,27.300000000000004,97.30000000000001,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=70",static,724.0,60.333333333333336,11,47.0,22,"Two-stage fixed allocation, XI cap £70m",Two-stage,70.0,fixed_split,,,False,59.29451503365866,16.498311080601233,70.0,27.300000000000004,97.30000000000001,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=75",sequential,766.0,63.833333333333336,17,46.0,25,"Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,60.764468531754225,15.850297886969209,75.0,24.900000000000002,99.9,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=75",static,771.0,64.25,11,56.0,19,"Two-stage fixed allocation, XI cap £75m",Two-stage,75.0,fixed_split,,,False,60.764468531754225,15.850297886969209,75.0,24.900000000000002,99.9,3-4-3,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=80",sequential,734.0,61.166666666666664,19,44.0,26,"Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,61.94928185318081,14.692862912409904,79.69999999999999,20.0,99.69999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=80",static,719.0,59.916666666666664,20,54.0,27,"Two-stage fixed allocation, XI cap £80m",Two-stage,80.0,fixed_split,,,False,61.94928185318081,14.692862912409904,79.69999999999999,20.0,99.69999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=83.5",sequential,665.0,55.416666666666664,16,53.0,27,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(0,0,1)","ARIMA(0,0,1) | two_stage | fixed_split | xi_cap=83.5",static,666.0,55.5,15,50.0,26,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.75130687868228,10.595690489175253,83.49999999999999,16.5,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",sequential,741.0,61.75,14,45.0,28,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.57823741266316,10.438759735751036,83.69999999999999,16.299999999999997,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.000",static,743.0,61.916666666666664,12,43.0,26,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,63.57823741266316,10.438759735751036,83.69999999999999,16.299999999999997,99.99999999999999,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.005",sequential,666.0,55.5,16,57.0,26,Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,63.32948698670174,12.086707910862549,83.39999999999999,16.6,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.005",static,672.0,56.0,16,74.0,26,Joint Pareto δ=0.5%,Joint Pareto,,endogenous,0.005,True,False,63.32948698670174,12.086707910862549,83.39999999999999,16.6,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.010",sequential,755.0,62.916666666666664,10,23.0,18,Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,62.95155398007206,14.642646853077036,81.3,18.7,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.010",static,760.0,63.333333333333336,10,35.0,18,Joint Pareto δ=1.0%,Joint Pareto,,endogenous,0.01,True,False,62.95155398007206,14.642646853077036,81.3,18.7,100.0,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",sequential,708.0,59.0,11,29.0,18,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,62.309095908989306,15.414246300555272,78.1,21.5,99.6,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.020",static,706.0,58.833333333333336,12,47.0,19,Joint Pareto δ=2.0%,Joint Pareto,,endogenous,0.02,True,True,62.309095908989306,15.414246300555272,78.1,21.5,99.6,3-5-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.050",sequential,725.0,60.416666666666664,18,37.0,29,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,False,60.408565508390495,17.340743242845857,76.7,23.1,99.80000000000001,4-3-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.050",static,751.0,62.583333333333336,17,125.0,28,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,False,60.408565508390495,17.340743242845857,76.7,23.1,99.80000000000001,4-3-3,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.100",sequential,710.0,59.166666666666664,17,38.0,25,Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,57.22761026290257,20.524070398758667,67.60000000000001,32.4,100.0,5-3-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | joint_pareto | delta=0.100",static,659.0,54.916666666666664,15,93.0,23,Joint Pareto δ=10.0%,Joint Pareto,,endogenous,0.1,True,False,57.22761026290257,20.524070398758667,67.60000000000001,32.4,100.0,5-3-2,Bukayo Saka,Ollie Watkins
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=55",sequential,561.0,46.75,10,34.0,20,"Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,49.09890798575171,22.376334303257057,55.00000000000001,40.8,95.80000000000001,5-4-1,Bukayo Saka,Douglas Luiz Soares de Paulo
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=55",static,544.0,45.333333333333336,18,116.0,28,"Two-stage actual remainder, XI cap £55m",Two-stage,55.0,actual_remainder,,,False,49.09890798575171,22.376334303257057,55.00000000000001,40.8,95.80000000000001,5-4-1,Bukayo Saka,Douglas Luiz Soares de Paulo
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=60",sequential,625.0,52.083333333333336,13,48.0,27,"Two-stage actual remainder, XI cap £60m",Two-stage,60.0,actual_remainder,,,False,54.17153866429541,18.11409049838767,59.800000000000004,26.0,85.80000000000001,3-5-2,Bukayo Saka,Cole Palmer
"ARIMA(1,0,0)","ARIMA(1,0,0) | two_stage | actual_remainder | xi_cap=60",static,639.0,53.25,18,100.0,32,"Two-stage actual remainder, XI cap £60m",Two-stage,60.0,actual_remainder,,,False,54.17153866429541,18.11409049838767,59.800000000000004,26.0,85.80000000000001,3-5-2,Bukayo Saka,Cole Palmer
