series,name,team,position,value,role,is_captain,is_vice_captain,xi_cap,xi_spend,bench_spend,total_spend
Robust Simple Avg.,William Saliba,Arsenal,DEF,5.7,XI,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Alphonse Areola,West Ham,GK,4.2,Bench,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Ameen Al-Dakhil,Burnley,DEF,3.8,Bench,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,67.8,16.5,84.3
Robust Simple Avg.,Pape Matar Sarr,Spurs,MID,4.4,Bench,False,False,83.5,67.8,16.5,84.3
Robust Weighted Avg.,Adam Wharton,Crystal Palace,MID,5.0,XI,False,True,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Antonee Robinson,Fulham,DEF,4.5,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Bukayo Saka,Arsenal,MID,9.1,XI,True,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Dominic Solanke,Bournemouth,FWD,7.0,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Gabriel Martinelli Silva,Arsenal,MID,7.7,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Jordan Pickford,Everton,GK,4.6,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Ollie Watkins,Aston Villa,FWD,8.8,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Pascal Groß,Brighton,MID,6.5,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Pedro Porro,Spurs,DEF,5.8,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Phil Foden,Man City,MID,8.1,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,William Saliba,Arsenal,DEF,5.7,XI,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Alphonse Areola,West Ham,GK,4.2,Bench,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Chris Richards,Crystal Palace,DEF,3.9,Bench,False,False,83.5,72.8,16.5,89.3
Robust Weighted Avg.,Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,72.8,16.5,89.3
