method,solution_id,policy,realized_points,mean_weekly_points,total_autosubs,substitute_points,total_planned_absences,design,design_family,xi_cap,bench_budget_rule,delta,is_nondominated,is_compromise,xi_score,bench_score,xi_spend,bench_spend,total_spend,formation,captain,vice_captain
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,sequential,618.0,51.5,15,39.0,29,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.90769230769231,9.956153846153846,83.39999999999999,16.5,99.89999999999999,3-5-2,Ollie Watkins,Bukayo Saka
Simple average,Simple average | two_stage | fixed_split | xi_cap=83.5,static,625.0,52.083333333333336,12,30.0,26,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,62.90769230769231,9.956153846153846,83.39999999999999,16.5,99.89999999999999,3-5-2,Ollie Watkins,Bukayo Saka
Weighted average,Weighted average | joint_pareto | delta=0.000,sequential,728.0,60.666666666666664,8,23.0,18,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,65.60262108262108,15.025641025641026,80.2,19.4,99.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | joint_pareto | delta=0.000,static,721.0,60.083333333333336,8,23.0,18,Joint Pareto δ=0.0%,Joint Pareto,,endogenous,0.0,True,False,65.60262108262108,15.025641025641026,80.2,19.4,99.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | joint_pareto | delta=0.050,sequential,722.0,60.166666666666664,9,40.0,18,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,True,62.3245584045584,18.446153846153848,72.4,24.2,96.60000000000001,3-4-3,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | joint_pareto | delta=0.050,static,675.0,56.25,15,130.0,24,Joint Pareto δ=5.0%,Joint Pareto,,endogenous,0.05,True,True,62.3245584045584,18.446153846153848,72.4,24.2,96.60000000000001,3-4-3,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=83.5,sequential,728.0,60.666666666666664,8,23.0,18,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,65.60262108262108,15.025641025641026,80.2,19.4,99.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | actual_remainder | xi_cap=83.5,static,721.0,60.083333333333336,8,23.0,18,"Two-stage actual remainder, XI cap £83.5m",Two-stage,83.5,actual_remainder,,,False,65.60262108262108,15.025641025641026,80.2,19.4,99.6,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=83.5,sequential,722.0,60.166666666666664,8,26.0,18,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,65.60262108262108,10.88034188034188,80.2,16.5,96.7,3-5-2,Bukayo Saka,Ollie Watkins
Weighted average,Weighted average | two_stage | fixed_split | xi_cap=83.5,static,717.0,59.75,8,19.0,18,"Two-stage fixed allocation, XI cap £83.5m",Two-stage,83.5,fixed_split,,,False,65.60262108262108,10.88034188034188,80.2,16.5,96.7,3-5-2,Bukayo Saka,Ollie Watkins
