bootstrap,model,cost_spearman,normalized_cost_rmse,top15_jaccard,squad_jaccard,xi_jaccard,captain_same
31,Full LASSO,0.9887410376490223,0.0670450008129843,0.875,0.875,0.6923076923076923,True
32,Full Ridge,0.9212907555906691,0.06748919970820176,0.875,0.5,0.6923076923076923,True
32,Reduced Ridge,0.9215085947714304,0.06617278235377062,0.875,0.6666666666666666,0.8333333333333334,True
32,Parsimonious Ridge,0.9229874634020281,0.06519595469802432,0.875,0.6666666666666666,0.8333333333333334,True
32,Full LASSO,0.986138157413641,0.06153904033265381,0.7647058823529411,0.875,1.0,True
33,Full Ridge,0.9992282388086657,0.05699318821714006,0.875,0.5789473684210527,0.8333333333333334,True
33,Reduced Ridge,0.9989519132978808,0.053668665861043414,0.875,0.5,0.8333333333333334,True
33,Parsimonious Ridge,0.9985618446892693,0.065025772907595,1.0,0.6666666666666666,1.0,True
33,Full LASSO,0.9988423140872739,0.037052442566769726,1.0,0.875,1.0,True
34,Full Ridge,0.9784570072655356,0.05084215346597431,1.0,0.6666666666666666,0.8333333333333334,True
34,Reduced Ridge,0.9782393347718569,0.04742302796376106,1.0,0.6666666666666666,0.8333333333333334,True
34,Parsimonious Ridge,0.9794888003053541,0.05381308278077675,0.875,0.6666666666666666,0.8333333333333334,True
34,Full LASSO,0.9869645411161656,0.058997988250651945,0.875,0.875,1.0,False
35,Full Ridge,0.9765009760257928,0.04644097574564215,1.0,0.6666666666666666,0.8333333333333334,True
35,Reduced Ridge,0.9763761274011041,0.04290478441890185,1.0,0.6666666666666666,0.8333333333333334,True
35,Parsimonious Ridge,0.9753792344691552,0.04591326952743004,0.875,0.6666666666666666,0.8333333333333334,True
35,Full LASSO,0.9858373739615333,0.04558752118707625,0.875,1.0,1.0,True
36,Full Ridge,0.9962910457303719,0.059828761613372236,0.875,0.5789473684210527,0.6923076923076923,True
36,Reduced Ridge,0.9965960830910936,0.05684670220599634,0.875,0.5789473684210527,0.6923076923076923,True
36,Parsimonious Ridge,0.9964849861506997,0.06381042246934857,0.875,0.5789473684210527,0.8333333333333334,True
36,Full LASSO,0.9964144445815782,0.044229738074188604,0.875,0.875,1.0,True
37,Full Ridge,0.9980810983078533,0.038835543752152424,1.0,0.5,0.8333333333333334,True
37,Reduced Ridge,0.997983753051754,0.03861294131066067,0.875,0.5,0.8333333333333334,True
37,Parsimonious Ridge,0.9976837579752738,0.04183881631273846,0.875,0.7647058823529411,1.0,True
37,Full LASSO,0.9978743340053053,0.05269440395176778,0.875,1.0,0.8333333333333334,True
38,Full Ridge,0.9989741868592614,0.034095359185874495,1.0,1.0,1.0,True
38,Reduced Ridge,0.999078407957508,0.029585654834853238,1.0,0.875,1.0,True
38,Parsimonious Ridge,0.9991796911959281,0.031543768766698586,0.7647058823529411,0.6666666666666666,0.8333333333333334,True
38,Full LASSO,0.9904911601800385,0.049353282950673705,0.875,1.0,1.0,True
39,Full Ridge,0.9604879522639866,0.06287886891211728,0.7647058823529411,0.5,0.8333333333333334,True
39,Reduced Ridge,0.9589276569936556,0.05400209124448811,0.875,0.6666666666666666,0.8333333333333334,True
39,Parsimonious Ridge,0.9634331879940045,0.05206332401936751,0.875,0.6666666666666666,0.8333333333333334,True
39,Full LASSO,0.9838888745335985,0.05062969797743855,0.875,1.0,0.8333333333333334,True
40,Full Ridge,0.9958196338255679,0.07793776598460679,1.0,0.5,0.8333333333333334,True
40,Reduced Ridge,0.9994323263051322,0.055334397277446865,1.0,0.5789473684210527,0.8333333333333334,True
40,Parsimonious Ridge,0.9992101324243443,0.05766414351660135,0.7647058823529411,0.6666666666666666,0.8333333333333334,True
40,Full LASSO,0.9979303702975115,0.04065762410454104,1.0,1.0,0.8333333333333334,True
41,Full Ridge,0.998998085619695,0.04939622675358788,1.0,0.6666666666666666,0.8333333333333334,True
41,Reduced Ridge,0.9990346317625028,0.050002153860183314,1.0,0.6666666666666666,0.8333333333333334,True
41,Parsimonious Ridge,0.999062385161716,0.05749849720753483,0.875,0.5789473684210527,0.8333333333333334,True
41,Full LASSO,0.9989051677266358,0.041462935805950965,0.875,0.875,0.8333333333333334,True
42,Full Ridge,0.9695414777989163,0.04975908833082931,1.0,1.0,1.0,True
42,Reduced Ridge,0.9715410560389262,0.05074091889874005,1.0,1.0,1.0,True
42,Parsimonious Ridge,0.9870719790867719,0.055584168704348805,0.875,0.6666666666666666,0.6923076923076923,True
42,Full LASSO,0.9863534493978525,0.047335977639781444,1.0,0.875,1.0,True
43,Full Ridge,0.9925171876780492,0.061115984523800286,0.875,0.5789473684210527,0.6923076923076923,True
43,Reduced Ridge,0.9926458075979765,0.06486191656320828,0.875,0.6666666666666666,0.8333333333333334,True
43,Parsimonious Ridge,0.9952607112025241,0.06331844444700527,0.875,1.0,1.0,True
43,Full LASSO,0.9966159539508725,0.05140313939620665,0.875,0.875,0.8333333333333334,True
44,Full Ridge,0.9988147506649825,0.05571589659532012,1.0,0.5789473684210527,0.8333333333333334,True
44,Reduced Ridge,0.998655897875492,0.054127815224578976,0.875,1.0,1.0,True
44,Parsimonious Ridge,0.9985161515928169,0.05403608649657659,0.875,0.6666666666666666,0.6923076923076923,True
44,Full LASSO,0.997732187118175,0.06687949474506052,1.0,1.0,0.8333333333333334,False
45,Full Ridge,0.9832631375830386,0.048023149635312276,0.875,0.6666666666666666,0.8333333333333334,True
45,Reduced Ridge,0.987501323339165,0.044916094998043395,0.7647058823529411,0.6666666666666666,0.8333333333333334,True
45,Parsimonious Ridge,0.9889922559473482,0.05272358220630887,1.0,0.5,0.6923076923076923,True
