model,position,alpha,cv_rmse_mean,cv_rmse_se,cv_mae_mean,folds,one_se_threshold,selected,selection_rule
Full Ridge,MID,316.2277660168379,2.0923858813673046,0.0640355840894729,1.0937271712087346,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,MID,1000.0,2.0949596984642938,0.0647135121228342,1.1028569163193322,3,2.155525500262614,False,minimum rolling-origin RMSE
Full Ridge,FWD,0.001,2.2618762857528782,0.10179480404412632,1.1868064830569665,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,0.0031622776601683794,2.2618661259081208,0.10181103078150577,1.186923837247807,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,0.01,2.2618631548914867,0.10181817840590146,1.1869799497690836,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,0.03162277660168379,2.2618627839900967,0.10182330482256238,1.1870023798623117,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,0.1,2.2618642181272204,0.10183346360260495,1.1870156200253288,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,0.31622776601683794,2.2618695157055932,0.1018635710199415,1.1870381780552872,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,1.0,2.2618862820533994,0.10195772077508912,1.1871028474292333,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,3.1622776601683795,2.261937090357215,0.10225111170661323,1.1873009062397462,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,10.0,2.262075608323099,0.10314113480099965,1.1878929728193166,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,31.622776601683793,2.2623289741563415,0.10565501906017029,1.1895895694129577,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,100.0,2.262249617787815,0.11170645969710251,1.1940326726820856,3,2.384348532626925,False,minimum rolling-origin RMSE
Full Ridge,FWD,316.2277660168379,2.2614937088903346,0.12285482373659037,1.2050659373283805,3,2.384348532626925,True,minimum rolling-origin RMSE
Full Ridge,FWD,1000.0,2.2661080830416647,0.13882166319753314,1.2333981275543542,3,2.384348532626925,False,minimum rolling-origin RMSE
Reduced Ridge,GK,0.001,1.5032419433957067,0.12472973470523432,0.6751859500846797,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,0.0031622776601683794,1.5032413192952279,0.12472840860178573,0.6751864625021599,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,0.01,1.5032393467335343,0.12472421608138184,0.6751880828943747,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,0.03162277660168379,1.5032331191087938,0.12471096802851062,0.675193206882455,3,1.6214500094830915,False,minimum rolling-origin RMSE
Reduced Ridge,GK,0.1,1.5032135269438374,0.12466917235189218,0.675209408914314,3,1.6214500094830915,False,minimum rolling-origin RMSE
