bootstrap,model,position,feature,feature_label,standardized_coefficient,selected_nonzero
2,Reduced Ridge,GK,starts,Starts,1.2837967834668316,True
2,Reduced Ridge,DEF,expected_goal_involvements,xGI,-0.005893951477686205,True
2,Reduced Ridge,DEF,expected_goals_conceded,xGC,0.1490465976740412,True
2,Reduced Ridge,DEF,ict_index,ICT,0.42128312876969914,True
2,Reduced Ridge,DEF,selected,Selected,-0.002249159464049333,True
2,Reduced Ridge,DEF,starts,Starts,0.4721824553619667,True
2,Reduced Ridge,MID,expected_goal_involvements,xGI,0.22640972990345662,True
2,Reduced Ridge,MID,expected_goals_conceded,xGC,0.26161515767942206,True
2,Reduced Ridge,MID,ict_index,ICT,0.5836602642833626,True
2,Reduced Ridge,MID,selected,Selected,0.14132636005786808,True
2,Reduced Ridge,MID,starts,Starts,0.3454183881170713,True
2,Reduced Ridge,FWD,expected_goal_involvements,xGI,0.010592077463358855,True
2,Reduced Ridge,FWD,expected_goals_conceded,xGC,0.41170122738988635,True
2,Reduced Ridge,FWD,ict_index,ICT,0.39166818265985903,True
2,Reduced Ridge,FWD,selected,Selected,0.1496161468761928,True
2,Reduced Ridge,FWD,starts,Starts,0.2747076733704474,True
2,Parsimonious Ridge,GK,expected_goal_involvements,xGI,0.0459925682150834,True
2,Parsimonious Ridge,GK,expected_goals_conceded,xGC,0.038304667593048604,True
2,Parsimonious Ridge,GK,selected,Selected,0.03287596860905078,True
2,Parsimonious Ridge,GK,starts,Starts,1.2881801819867882,True
2,Parsimonious Ridge,DEF,expected_goal_involvements,xGI,0.18624756772195772,True
2,Parsimonious Ridge,DEF,expected_goals_conceded,xGC,0.22407108684335447,True
2,Parsimonious Ridge,DEF,selected,Selected,0.021614452640671807,True
2,Parsimonious Ridge,DEF,starts,Starts,0.6215822391718316,True
2,Parsimonious Ridge,MID,expected_goal_involvements,xGI,0.5931909350738979,True
2,Parsimonious Ridge,MID,expected_goals_conceded,xGC,0.2884258323558693,True
2,Parsimonious Ridge,MID,selected,Selected,0.16201246940850425,True
2,Parsimonious Ridge,MID,starts,Starts,0.5436535715026933,True
2,Parsimonious Ridge,FWD,expected_goal_involvements,xGI,0.21290687164788535,True
2,Parsimonious Ridge,FWD,expected_goals_conceded,xGC,0.4755218274375271,True
2,Parsimonious Ridge,FWD,selected,Selected,0.16226519224711866,True
2,Parsimonious Ridge,FWD,starts,Starts,0.3746541448645262,True
2,Full LASSO,GK,expected_assists,xA,0.0,False
2,Full LASSO,GK,expected_goal_involvements,xGI,0.0,False
2,Full LASSO,GK,expected_goals,xG,0.0,False
2,Full LASSO,GK,expected_goals_conceded,xGC,0.0,False
2,Full LASSO,GK,ict_index,ICT,0.0,False
2,Full LASSO,GK,selected,Selected,0.0,False
2,Full LASSO,GK,starts,Starts,0.9033010583281035,True
2,Full LASSO,DEF,expected_assists,xA,0.0,False
2,Full LASSO,DEF,expected_goal_involvements,xGI,0.0,False
2,Full LASSO,DEF,expected_goals,xG,0.0,False
2,Full LASSO,DEF,expected_goals_conceded,xGC,0.0,False
2,Full LASSO,DEF,ict_index,ICT,0.17676239555707274,True
2,Full LASSO,DEF,selected,Selected,0.0,False
2,Full LASSO,DEF,starts,Starts,0.37708921478420776,True
2,Full LASSO,MID,expected_assists,xA,0.0,False
2,Full LASSO,MID,expected_goal_involvements,xGI,0.10806449804661487,True
2,Full LASSO,MID,expected_goals,xG,0.0,False
2,Full LASSO,MID,expected_goals_conceded,xGC,0.11646035048051805,True
2,Full LASSO,MID,ict_index,ICT,0.7254142319662917,True
2,Full LASSO,MID,selected,Selected,0.0,False
2,Full LASSO,MID,starts,Starts,0.27466001654674843,True
2,Full LASSO,FWD,expected_assists,xA,0.0,False
2,Full LASSO,FWD,expected_goal_involvements,xGI,0.0,False
2,Full LASSO,FWD,expected_goals,xG,0.0,False
2,Full LASSO,FWD,expected_goals_conceded,xGC,0.37387635773888833,True
2,Full LASSO,FWD,ict_index,ICT,0.3328101241993701,True
2,Full LASSO,FWD,selected,Selected,0.0,False
2,Full LASSO,FWD,starts,Starts,0.0083397950277201,True
3,Full Ridge,GK,expected_assists,xA,-0.03841591553916025,True
3,Full Ridge,GK,expected_goal_involvements,xGI,-0.03841591553916537,True
3,Full Ridge,GK,expected_goals,xG,0.0,False
3,Full Ridge,GK,expected_goals_conceded,xGC,-0.12121437077052033,True
3,Full Ridge,GK,ict_index,ICT,0.01883637232412632,True
3,Full Ridge,GK,selected,Selected,0.07234413428440434,True
3,Full Ridge,GK,starts,Starts,1.2059104027199277,True
3,Full Ridge,DEF,expected_assists,xA,-0.01739632290626137,True
3,Full Ridge,DEF,expected_goal_involvements,xGI,-0.036277746364845286,True
3,Full Ridge,DEF,expected_goals,xG,-0.044876308642212946,True
3,Full Ridge,DEF,expected_goals_conceded,xGC,-0.04652753401027045,True
3,Full Ridge,DEF,ict_index,ICT,0.5201751559541888,True
3,Full Ridge,DEF,selected,Selected,0.12200807075786167,True
3,Full Ridge,DEF,starts,Starts,0.6023358291350789,True
3,Full Ridge,MID,expected_assists,xA,0.1440730549517959,True
3,Full Ridge,MID,expected_goal_involvements,xGI,0.13433019008482766,True
3,Full Ridge,MID,expected_goals,xG,0.10785416443246298,True
3,Full Ridge,MID,expected_goals_conceded,xGC,0.24208081994634628,True
3,Full Ridge,MID,ict_index,ICT,0.46878051226841905,True
3,Full Ridge,MID,selected,Selected,0.1706518303658142,True
3,Full Ridge,MID,starts,Starts,0.2612975573191201,True
3,Full Ridge,FWD,expected_assists,xA,0.1971345859202806,True
3,Full Ridge,FWD,expected_goal_involvements,xGI,-0.0005264561879237544,True
3,Full Ridge,FWD,expected_goals,xG,-0.04543705616341061,True
3,Full Ridge,FWD,expected_goals_conceded,xGC,0.3167699305515145,True
3,Full Ridge,FWD,ict_index,ICT,0.4753041121292169,True
3,Full Ridge,FWD,selected,Selected,0.37204351783247874,True
3,Full Ridge,FWD,starts,Starts,0.3208843205228978,True
3,Reduced Ridge,GK,expected_goal_involvements,xGI,-0.07658211576953722,True
3,Reduced Ridge,GK,expected_goals_conceded,xGC,-0.12123003161656166,True
3,Reduced Ridge,GK,ict_index,ICT,0.018887960087641053,True
3,Reduced Ridge,GK,selected,Selected,0.07237454964543649,True
3,Reduced Ridge,GK,starts,Starts,1.2057714521292702,True
3,Reduced Ridge,DEF,expected_goal_involvements,xGI,-0.07992505954502498,True
3,Reduced Ridge,DEF,expected_goals_conceded,xGC,-0.04614843774249478,True
3,Reduced Ridge,DEF,ict_index,ICT,0.516445038544267,True
3,Reduced Ridge,DEF,selected,Selected,0.1284785875687333,True
3,Reduced Ridge,DEF,starts,Starts,0.5985832695193262,True
3,Reduced Ridge,MID,expected_goal_involvements,xGI,0.297442259196788,True
3,Reduced Ridge,MID,expected_goals_conceded,xGC,0.23921022272283546,True
3,Reduced Ridge,MID,ict_index,ICT,0.5377758290085418,True
3,Reduced Ridge,MID,selected,Selected,0.1754504762257233,True
3,Reduced Ridge,MID,starts,Starts,0.25648637453531287,True
3,Reduced Ridge,FWD,expected_goal_involvements,xGI,0.023680727048834605,True
3,Reduced Ridge,FWD,expected_goals_conceded,xGC,0.3289761608851088,True
3,Reduced Ridge,FWD,ict_index,ICT,0.5176775345114527,True
