model,name,position,reference_cost,bootstrap_mean_cost,bootstrap_sd_cost,absolute_cv
Full LASSO,Kaden Rodney,MID,0.2762447155466481,0.27670834631595176,0.020135694229455877,0.07276865514733875
Full LASSO,Kaelan Casey,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Kai Havertz,MID,5.370802028597513,5.315654947032844,0.20603177710581871,0.038759434003673245
Full LASSO,Kaide Gordon,MID,0.3602702547476958,0.3615091159962339,0.020441427445482753,0.056544708116560205
Full LASSO,Kaine Kesler-Hayden,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Kalvin Phillips,MID,0.6564248980969686,0.6644800350669836,0.05876161203553594,0.08843247190957726
Full LASSO,Kaoru Mitoma,MID,1.9235318380886806,1.9232664795367567,0.05404269211776434,0.02809943015841529
Full LASSO,Karl Darlow,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Karl Hein,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Keane Lewis-Potter,MID,2.53226750299537,2.5299828843036365,0.05939973693967336,0.02347831572624366
Full LASSO,Keinan Davis,FWD,0.4164965560034109,0.41218023364501605,0.04659482971458631,0.1130447942700605
Full LASSO,Kell Watts,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Kenny Tete,DEF,0.526255751529311,0.526580213096657,0.026457862768323123,0.05024469607912635
Full LASSO,Kepa Arrizabalaga,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Kevin De Bruyne,MID,2.742939870634661,2.7616125502386732,0.11472967558143103,0.04154445038697245
Full LASSO,Kevin Mbabu,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Kevin Schade,MID,0.27684113303160285,0.27734843298281453,0.020123015214178617,0.07255499877089808
Full LASSO,Ki-Jana Hoever,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Kieffer Moore,FWD,0.46467314244854113,0.46072587004877774,0.04622972118659774,0.10034105786528404
Full LASSO,Kieran Tierney,DEF,0.3985724532106296,0.39940173073458335,0.02747323668026522,0.06878597303455894
Full LASSO,Kieran Trippier,DEF,2.1844129377894714,2.1678878833585578,0.09845826550109427,0.04541667779818933
Full LASSO,Kjell Scherpen,GK,0.21798171430345936,0.2191358039174993,0.029247784595321874,0.1334687626232596
Full LASSO,Kobbie Mainoo,MID,2.274525929906525,2.2914093788681824,0.07819609882416094,0.03412576536750717
Full LASSO,Konstantinos Mavropanos,DEF,1.1348710195880298,1.1327053911334,0.03958908003197754,0.03495090633616935
