name,lag_expected_assists,lag_expected_goal_involvements,lag_expected_goals,lag_expected_goals_conceded,lag_ict_index,lag_selected,lag_starts,lag_total_points,history_gameweeks,team,position,value,model_prediction,cost_vector,model,future_total_points,future_mean_points,future_appearances
Kevin Schade,1.9083275450415207e-05,6.809090890284336e-05,4.900763345242819e-05,0.0001256377512144068,0.0008342435785424701,5507.0550265802685,0.00014108258115092957,0.0009838653685525353,25,Brentford,MID,5.2,0.41476976686312805,0.27684113303160285,Full LASSO,14.0,1.1666666666666667,6
Ki-Jana Hoever,0.0,0.0,0.0,0.0,0.0,4358.03951256433,0.0,0.0,26,Wolves,DEF,4.0,0.5978586798159444,0.3985724532106296,Full LASSO,0.0,0.0,0
Kieffer Moore,0.0005864497935439649,0.021897663336837504,0.021311213543293538,0.019296293805186458,0.08473611942074624,20391.336114664897,0.0,0.09834492137782683,25,Bournemouth,FWD,4.6,0.6478372529838983,0.46467314244854113,Full LASSO,0.0,0.0,0
Kieran Tierney,0.0,0.0,0.0,0.0,0.0,10154.05551570897,0.0,0.0,26,Arsenal,DEF,4.4,0.5978586798159444,0.3985724532106296,Full LASSO,0.0,0.0,0
Kieran Trippier,0.1612277945783833,0.19437514801260813,0.033147353434224834,2.171186797805309,5.469615835622266,4376784.068432864,0.9620654033091163,2.3016776224101902,26,Newcastle,DEF,6.9,2.125780595479112,2.1844129377894714,Full LASSO,4.0,0.3333333333333333,3
Kjell Scherpen,0.0,0.0,0.0,0.0,0.0,71.9522747743516,0.0,0.0,26,Brighton,GK,4.0,0.32697257145518904,0.21798171430345936,Full LASSO,0.0,0.0,0
Kobbie Mainoo,0.15113067845516037,0.186129916376209,0.03499923792104862,1.4689830375233464,3.0775063145924637,55964.61904906676,0.9869403293226449,2.2014736035295237,26,Man Utd,MID,4.4,2.3110520930950256,2.274525929906525,Full LASSO,46.0,3.8333333333333335,11
Konstantinos Mavropanos,0.0005816638159268862,0.007646084820258439,0.007064421004331555,0.8256513315977752,1.4411771526105324,18484.438684618588,0.5081822376203754,1.0589406726556025,24,West Ham,DEF,4.5,1.1728361930542435,1.1348710195880298,Full LASSO,8.0,0.6666666666666666,8
Konstantinos Tsimikas,0.004392533405738388,0.004600203578804532,0.00020767017306614385,0.04480984577436857,0.20307797479623227,290481.05708441394,0.05059036513683203,0.40514381005507116,25,Liverpool,DEF,4.5,0.6646531138099352,0.5781500125583138,Full LASSO,2.0,0.16666666666666666,2
Kortney Hause,0.0,0.0,0.0,0.0,0.0,20128.905052042603,0.0,0.0,26,Aston Villa,DEF,3.9,0.5978586798159444,0.3985724532106296,Full LASSO,0.0,0.0,0
