series,name,objective_coefficient,bench_forecast,xi_cap
Simple Avg. (Budget = 55),Joe Hodge,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joe Hugill,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joe Rodon,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joe Rothwell,0.52,0.52,55.0
Simple Avg. (Budget = 55),Joe Taylor,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joe White,0.2,0.2,55.0
Simple Avg. (Budget = 55),Joe Whitworth,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joe Willock,0.38461538461538464,0.38461538461538464,55.0
Simple Avg. (Budget = 55),Joe Worrall,0.5,0.5,55.0
Simple Avg. (Budget = 55),Joel Matip,0.8076923076923077,0.8076923076923077,55.0
Simple Avg. (Budget = 55),Joel Ward,1.6923076923076923,1.6923076923076923,55.0
Simple Avg. (Budget = 55),Joelinton Cássio Apolinário de Lira,1.5769230769230769,1.5769230769230769,55.0
Simple Avg. (Budget = 55),John Egan,0.038461538461538464,0.038461538461538464,55.0
Simple Avg. (Budget = 55),John Fleck,0.11538461538461539,0.11538461538461539,55.0
Simple Avg. (Budget = 55),John McAtee,0.0,0.0,55.0
Simple Avg. (Budget = 55),John McGinn,3.8076923076923075,3.8076923076923075,55.0
Simple Avg. (Budget = 55),John Stones,1.5,1.5,55.0
Simple Avg. (Budget = 55),John-Kymani Gordon,0.0,0.0,55.0
Simple Avg. (Budget = 55),Jonathan Castro Otto,0.038461538461538464,0.038461538461538464,55.0
Simple Avg. (Budget = 55),Jonathan Panzo,0.0,0.0,55.0
Simple Avg. (Budget = 55),Jonjo Shelvey,0.0,0.0,55.0
Simple Avg. (Budget = 55),Jonny Evans,1.565217391304348,1.565217391304348,55.0
Simple Avg. (Budget = 55),Jordan Amissah,0.0,0.0,55.0
Simple Avg. (Budget = 55),Jordan Ayew,3.269230769230769,3.269230769230769,55.0
Simple Avg. (Budget = 55),Jordan Beyer,1.1538461538461537,1.1538461538461537,55.0
Simple Avg. (Budget = 55),Jordan Clark,0.52,0.52,55.0
Simple Avg. (Budget = 55),Jordan Henderson,0.0,0.0,55.0
Simple Avg. (Budget = 55),Jordan Pickford,3.730769230769231,3.730769230769231,55.0
Simple Avg. (Budget = 55),Jorge Luiz Frello Filho,0.9615384615384616,0.9615384615384616,55.0
Simple Avg. (Budget = 55),Joseph Anang,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joseph Johnson,0.0,0.0,55.0
Simple Avg. (Budget = 55),Josh Bowler,0.0,0.0,55.0
Simple Avg. (Budget = 55),Josh Brooking,0.0,0.0,55.0
Simple Avg. (Budget = 55),Josh Brownhill,2.3076923076923075,2.3076923076923075,55.0
Simple Avg. (Budget = 55),Josh Cullen,0.8076923076923077,0.8076923076923077,55.0
Simple Avg. (Budget = 55),Josh Dasilva,0.11538461538461539,0.11538461538461539,55.0
Simple Avg. (Budget = 55),Josh Powell,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joshua Duffus,0.0,0.0,55.0
Simple Avg. (Budget = 55),Joshua King,0.0,0.0,55.0
Simple Avg. (Budget = 55),José Malheiro de Sá,2.8461538461538463,2.8461538461538463,55.0
Simple Avg. (Budget = 55),João Cancelo,0.0,0.0,55.0
Simple Avg. (Budget = 55),João Neves Virgínia,0.0,0.0,55.0
