series,policy,GW,weekly_points,base_points,captain_bonus,captain_used,autosubs_used,substitute_points,cumulative_points
"ARIMA (0,0,1)",static,37,60.0,58.0,2.0,Bukayo Saka,0,0.0,625.0
"ARIMA (0,0,1)",static,38,41.0,39.0,2.0,Ollie Watkins,1,2.0,666.0
"ARIMA (1,0,0)",static,27,71.0,64.0,7.0,Bukayo Saka,1,1.0,71.0
"ARIMA (1,0,0)",static,28,41.0,39.0,2.0,Bukayo Saka,1,2.0,112.0
"ARIMA (1,0,0)",static,29,10.0,8.0,2.0,Ollie Watkins,1,3.0,122.0
"ARIMA (1,0,0)",static,30,54.0,51.0,3.0,Bukayo Saka,1,2.0,176.0
"ARIMA (1,0,0)",static,31,40.0,40.0,0.0,,1,0.0,216.0
"ARIMA (1,0,0)",static,32,67.0,57.0,10.0,Bukayo Saka,2,5.0,283.0
"ARIMA (1,0,0)",static,33,30.0,28.0,2.0,Bukayo Saka,2,2.0,313.0
"ARIMA (1,0,0)",static,34,91.0,82.0,9.0,Bukayo Saka,2,9.0,404.0
"ARIMA (1,0,0)",static,35,56.0,44.0,12.0,Bukayo Saka,2,4.0,460.0
"ARIMA (1,0,0)",static,36,81.0,71.0,10.0,Bukayo Saka,1,11.0,541.0
"ARIMA (1,0,0)",static,37,55.0,53.0,2.0,Bukayo Saka,0,0.0,596.0
"ARIMA (1,0,0)",static,38,47.0,45.0,2.0,Ollie Watkins,1,6.0,643.0
"ARIMA (0,1,1)",static,27,61.0,60.0,1.0,Chris Richards,1,1.0,61.0
"ARIMA (0,1,1)",static,28,36.0,34.0,2.0,Chris Richards,1,1.0,97.0
"ARIMA (0,1,1)",static,29,6.0,4.0,2.0,Emerson Palmieri dos Santos,0,0.0,103.0
"ARIMA (0,1,1)",static,30,41.0,39.0,2.0,Chris Richards,1,2.0,144.0
"ARIMA (0,1,1)",static,31,34.0,32.0,2.0,Emerson Palmieri dos Santos,3,5.0,178.0
"ARIMA (0,1,1)",static,32,62.0,58.0,4.0,Emerson Palmieri dos Santos,3,7.0,240.0
"ARIMA (0,1,1)",static,33,28.0,27.0,1.0,Emerson Palmieri dos Santos,2,2.0,268.0
"ARIMA (0,1,1)",static,34,77.0,71.0,6.0,Chris Richards,0,0.0,345.0
"ARIMA (0,1,1)",static,35,50.0,48.0,2.0,Chris Richards,0,0.0,395.0
"ARIMA (0,1,1)",static,36,61.0,50.0,11.0,Chris Richards,1,2.0,456.0
"ARIMA (0,1,1)",static,37,49.0,47.0,2.0,Chris Richards,0,0.0,505.0
"ARIMA (0,1,1)",static,38,47.0,41.0,6.0,Chris Richards,1,2.0,552.0
"ARIMA (1,0,1)",static,27,78.0,71.0,7.0,Bukayo Saka,2,9.0,78.0
"ARIMA (1,0,1)",static,28,58.0,56.0,2.0,Bukayo Saka,1,2.0,136.0
"ARIMA (1,0,1)",static,29,10.0,8.0,2.0,Ollie Watkins,1,3.0,146.0
"ARIMA (1,0,1)",static,30,61.0,58.0,3.0,Bukayo Saka,1,2.0,207.0
"ARIMA (1,0,1)",static,31,48.0,48.0,0.0,,1,0.0,255.0
"ARIMA (1,0,1)",static,32,71.0,61.0,10.0,Bukayo Saka,2,5.0,326.0
"ARIMA (1,0,1)",static,33,55.0,53.0,2.0,Bukayo Saka,2,2.0,381.0
"ARIMA (1,0,1)",static,34,71.0,62.0,9.0,Bukayo Saka,2,9.0,452.0
"ARIMA (1,0,1)",static,35,64.0,52.0,12.0,Bukayo Saka,2,4.0,516.0
"ARIMA (1,0,1)",static,36,74.0,64.0,10.0,Bukayo Saka,1,11.0,590.0
"ARIMA (1,0,1)",static,37,62.0,60.0,2.0,Bukayo Saka,0,0.0,652.0
"ARIMA (1,0,1)",static,38,65.0,63.0,2.0,Ollie Watkins,2,8.0,717.0
"ARIMA (1,1,0)",static,27,55.0,54.0,1.0,Daniel Muñoz,0,0.0,55.0
"ARIMA (1,1,0)",static,28,36.0,32.0,4.0,Daniel Muñoz,1,1.0,91.0
"ARIMA (1,1,0)",static,29,14.0,12.0,2.0,Jarrod Bowen,0,0.0,105.0
"ARIMA (1,1,0)",static,30,28.0,26.0,2.0,Daniel Muñoz,1,2.0,133.0
"ARIMA (1,1,0)",static,31,31.0,29.0,2.0,Daniel Muñoz,2,4.0,164.0
"ARIMA (1,1,0)",static,32,50.0,50.0,0.0,Daniel Muñoz,2,3.0,214.0
"ARIMA (1,1,0)",static,33,37.0,31.0,6.0,Daniel Muñoz,1,1.0,251.0
"ARIMA (1,1,0)",static,34,68.0,61.0,7.0,Daniel Muñoz,1,1.0,319.0
"ARIMA (1,1,0)",static,35,53.0,51.0,2.0,Daniel Muñoz,0,0.0,372.0
"ARIMA (1,1,0)",static,36,70.0,57.0,13.0,Daniel Muñoz,0,0.0,442.0
"ARIMA (1,1,0)",static,37,35.0,34.0,1.0,Daniel Muñoz,0,0.0,477.0
